;fecha;cod_insumo;key;desc_insumo;INGRESO (KG);CONSUMO (KG);STOCK INICIAL (KG)_R;updated_cumulative_inventory
0;2023-05-31 00:00:00;178;2023-05-31178;ASERRIN;0;0;55500;55500
1;2023-06-01 00:00:00;178;2023-06-01178;ASERRIN;19760;8222,72;0;67037
2;2023-06-02 00:00:00;178;2023-06-02178;ASERRIN;19760;8222,72;0;67037
3;2023-06-03 00:00:00;178;2023-06-03178;ASERRIN;43200;7785,98;0;102451
4;2023-06-04 00:00:00;178;2023-06-04178;ASERRIN;43200;7785,98;0;102451
5;2023-06-05 00:00:00;178;2023-06-05178;ASERRIN;22410;7281,66;0;117579
6;2023-06-06 00:00:00;178;2023-06-06178;ASERRIN;22410;7281,66;0;117579
7;2023-06-07 00:00:00;178;2023-06-07178;ASERRIN;22410;7281,66;0;117579
8;2023-06-08 00:00:00;178;2023-06-08178;ASERRIN;22030;8050,33;0;131559
9;2023-06-09 00:00:00;178;2023-06-09178;ASERRIN;23590;8682,54;0;146466
10;2023-06-10 00:00:00;178;2023-06-10178;ASERRIN;23590;8682,54;0;146466
11;2023-06-11 00:00:00;178;2023-06-11178;ASERRIN;23590;8682,54;0;146466
12;2023-06-12 00:00:00;178;2023-06-12178;ASERRIN;22990;7472,64;0;161984
13;2023-06-13 00:00:00;178;2023-06-13178;ASERRIN;22990;7472,64;0;161984
14;2023-06-14 00:00:00;178;2023-06-14178;ASERRIN;22990;7472,64;0;161984
15;2023-06-15 00:00:00;178;2023-06-15178;ASERRIN;22990;7472,64;0;161984
16;2023-06-16 00:00:00;178;2023-06-16178;ASERRIN;22990;7472,64;0;161984
17;2023-06-17 00:00:00;178;2023-06-17178;ASERRIN;45680;8898,44;0;198765
18;2023-06-18 00:00:00;178;2023-06-18178;ASERRIN;45680;8898,44;0;198765
19;2023-06-19 00:00:00;178;2023-06-19178;ASERRIN;45680;8898,44;0;198765
20;2023-06-20 00:00:00;178;2023-06-20178;ASERRIN;45680;8898,44;0;198765
21;2023-06-21 00:00:00;178;2023-06-21178;ASERRIN;22590;7799,05;0;213556
22;2023-06-22 00:00:00;178;2023-06-22178;ASERRIN;22590;7799,05;0;213556
23;2023-06-23 00:00:00;178;2023-06-23178;ASERRIN;22590;7799,05;0;213556
24;2023-06-24 00:00:00;178;2023-06-24178;ASERRIN;22590;7799,05;0;213556
25;2023-06-25 00:00:00;178;2023-06-25178;ASERRIN;22590;7799,05;0;213556
26;2023-06-26 00:00:00;178;2023-06-26178;ASERRIN;23310;3774,06;0;233092
27;2023-06-27 00:00:00;178;2023-06-27178;ASERRIN;23310;3774,06;0;233092
28;2023-06-28 00:00:00;178;2023-06-28178;ASERRIN;23310;3774,06;0;233092
29;2023-06-29 00:00:00;178;2023-06-29178;ASERRIN;23310;3774,06;0;233092
30;2023-06-30 00:00:00;178;2023-06-30178;ASERRIN;23310;3774,06;0;233092
31;2023-07-01 00:00:00;178;2023-07-01178;ASERRIN;23310;3774,06;0;233092
32;2023-07-02 00:00:00;178;2023-07-02178;ASERRIN;23310;3774,06;0;233092
33;2023-07-03 00:00:00;178;2023-07-03178;ASERRIN;25400;3680,53;0;254812
34;2023-07-04 00:00:00;178;2023-07-04178;ASERRIN;25400;3680,53;0;254812
35;2023-07-05 00:00:00;178;2023-07-05178;ASERRIN;24420;7051,37;0;272180
36;2023-07-06 00:00:00;178;2023-07-06178;ASERRIN;24420;7051,37;0;272180
37;2023-07-07 00:00:00;178;2023-07-07178;ASERRIN;21400;7078,11;0;286502
38;2023-07-08 00:00:00;178;2023-07-08178;ASERRIN;47530;7060,38;0;326972
39;2023-07-09 00:00:00;178;2023-07-09178;ASERRIN;47530;7060,38;0;326972
40;2023-07-10 00:00:00;178;2023-07-10178;ASERRIN;47530;7060,38;0;326972
41;2023-07-11 00:00:00;178;2023-07-11178;ASERRIN;47530;7060,38;0;326972
42;2023-07-12 00:00:00;178;2023-07-12178;ASERRIN;47530;7060,38;0;326972
43;2023-07-13 00:00:00;178;2023-07-13178;ASERRIN;47530;7060,38;0;326972
44;2023-07-14 00:00:00;178;2023-07-14178;ASERRIN;24390;6556;0;344806
45;2023-07-15 00:00:00;178;2023-07-15178;ASERRIN;26740;6311,84;0;365234
46;2023-07-16 00:00:00;178;2023-07-16178;ASERRIN;26740;6311,84;0;365234
47;2023-07-17 00:00:00;178;2023-07-17178;ASERRIN;26740;6311,84;0;365234
48;2023-07-18 00:00:00;178;2023-07-18178;ASERRIN;26740;6311,84;0;365234
49;2023-07-19 00:00:00;178;2023-07-19178;ASERRIN;26740;6311,84;0;365234
50;2023-07-20 00:00:00;178;2023-07-20178;ASERRIN;26740;6311,84;0;365234
51;2023-07-21 00:00:00;178;2023-07-21178;ASERRIN;26740;6311,84;0;365234
52;2023-07-22 00:00:00;178;2023-07-22178;ASERRIN;26740;6311,84;0;365234
53;2023-07-23 00:00:00;178;2023-07-23178;ASERRIN;26740;6311,84;0;365234
54;2023-07-24 00:00:00;178;2023-07-24178;ASERRIN;19630;6342,5;0;378521
55;2023-07-25 00:00:00;178;2023-07-25178;ASERRIN;48030;2748,6;0;423803
56;2023-07-26 00:00:00;178;2023-07-26178;ASERRIN;48030;2748,6;0;423803
57;2023-07-27 00:00:00;178;2023-07-27178;ASERRIN;48030;2748,6;0;423803
58;2023-07-28 00:00:00;178;2023-07-28178;ASERRIN;48030;2748,6;0;423803
